"","views","favorite","post_info","price","car_name","year","A.C","emission_class","seats_amount","horsepower","color","car_mileage..km","engine_capacity..cc","type_of_drive","doors","fuel","car_type","gearbox"
"1",452,6,"posted 2 weeks ago",220,"Zastava 101",2006,"no A/C","Euro 2",5,60,"red",5555,NA,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"2",145,8,"posted 2 weeks ago",3800,"Zastava Florida In",2008,"no A/C","Euro 2",5,65,"bordeaux",6950,1299,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"3",82,0,"posted 4 days ago",22500,"Volkswagen Polo",2023,"manual A/C","Euro 6",5,95,"white",9500,1000,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"4",68,1,"posted a week ago",18000,"Hyundai Bayon",2024,"automatic A/C","Euro 6",5,84,"red",9600,1200,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"5",139,1,"posted 2 weeks ago",4000,"Audi A4",2007,"automatic A/C","Euro 4",5,190,"gray",10000,1936,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6",184,2,"posted 2 days ago",700,"Opel Astra",2000,"manual A/C","Euro 1",5,101,"gray",10000,1598,"front","4/5 doors","petrol","caravan","manual, 5 speeds"
"7",132,0,"posted 4 weeks ago",2500,"Opel Corsa D",2007,"no A/C","",5,408,"black",10000,NA,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"8",182,1,"posted 2 days ago",2478,"Audi TT",2006,"automatic A/C","Euro 4",4,200,"silver",10000,1984,"front","2/3 doors","petrol","coupe","manual, 6 speeds"
"9",283,2,"posted a week ago",2000,"Mini Countryman",2013,"no A/C","Euro 5",5,7,"white",10000,1600,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"10",285,4,"posted a week ago",180,"Audi 80",1988,"manual A/C","Euro 2",5,90,"gray",10000,1800,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"11",185,1,"posted 3 weeks ago",100,"Volkswagen Golf 2",1992,"no A/C","Euro 3",5,60,"black",10000,1800,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"12",234,2,"posted 3 weeks ago",100,"Zastava 101",2000,"no A/C","Euro 3",5,54,"green",10000,NA,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"13",557,5,"posted 3 weeks ago",100,"Zastava Koral",1996,"no A/C","Euro 3",5,54,"beige",10000,1300,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"14",263,2,"posted 3 weeks ago",500,"Zastava Yugo 55",1992,"no A/C","Euro 1",5,54,"white",10000,NA,"front","2/3 doors","petrol","limousine","manual, 5 speeds"
"15",156,0,"posted 4 weeks ago",5500,"Mercedes E 55 AMG",2005,"no A/C","",5,499,"black",10000,5500,"4x4","4/5 doors","petrol","limousine","automatic"
"16",1023,40,"posted 4 weeks ago",4300,"Mercedes SL 450",1973,"manual A/C","",4,224,"yellow",10000,4500,"back","2/3 doors","petrol","limousine","automatic"
"17",121,1,"posted 3 days ago",3500,"Suzuki Vitara",1994,"no A/C","",4,90,"teget",10000,1600,"4x4","2/3 doors","petrol + gas","suv","manual, 4 speeds"
"18",358,5,"posted 3 weeks ago",4500,"UAZ 469",2003,"no A/C","",2,90,"green",10000,2500,"4x4","4/5 doors","petrol","suv","manual, 4 speeds"
"19",413,16,"posted a week ago",670,"Fiat Panda",2002,"no A/C","Euro 3",5,55,"red",10010,1100,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"20",55,0,"posted 5 days ago",2590,"Lancia Ypsilon",2009,"manual A/C","Euro 4",4,60,"golden",10500,1222,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"21",270,2,"updated a week ago",21800,"BMW Z4",2012,"automatic A/C","",2,184,"white",10800,1991,"back","2/3 doors","petrol","cabriolet","automatic"
"22",131,0,"posted 2 weeks ago",1000,"Zastava Yugo In L",2006,"no A/C","",4,54,"green",11000,1100,"front","2/3 doors","petrol + gas","hatchback","manual, 5 speeds"
"23",151,1,"posted 2 weeks ago",1750,"Volkswagen Passat B5.5",2001,"automatic A/C","Euro 3",5,150,"golden",11111,1800,"front","4/5 doors","petrol","caravan","manual, 5 speeds"
"24",125,4,"updated 2 weeks ago",2700,"Audi A4",2003,"automatic A/C","Euro 4",5,131,"gray",11111,1900,"front","4/5 doors","diesel","caravan","automatic"
"25",87,0,"posted a week ago",1100,"Volkswagen Passat B5",2000,"automatic A/C","Euro 3",5,110,"red",11111,1900,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"26",72,3,"posted a week ago",700,"Citroen Xsara",1998,"no A/C","Euro 3",5,75,"black",11111,1360,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"27",190,0,"posted 4 days ago",350,"Subaru Justy",1999,"manual A/C","Euro 3",5,75,"teget",11111,1300,"4x4","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"28",444,6,"updated 2 weeks ago",550,"Volkswagen Golf 3",1995,"no A/C","",5,75,"white",11111,1600,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"29",61,2,"posted 6 days ago",2050,"Daihatsu Sirion",2001,"no A/C","Euro 4",5,136,"green",11111,1300,"4x4","4/5 doors","petrol","hatchback","manual, 5 speeds"
"30",279,3,"posted 3 weeks ago",500,"Volkswagen Vento",1996,"no A/C","Euro 2",5,77,"green",11111,1900,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"31",178,1,"posted 2 days ago",300,"Volkswagen Golf 2",1989,"no A/C","Euro 2",5,60,"red",11111,1300,"front","2/3 doors","petrol","limousine","manual, 4 speeds"
"32",26,0,"posted today",800,"Volkswagen Polo",1998,"no A/C","",5,60,"red",11111,NA,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"33",110,1,"posted 2 weeks ago",1100,"Daewoo Matiz",2003,"no A/C","",5,510,"gray",11111,NA,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"34",30,0,"yesterday",1799,"Opel Meriva",2005,"automatic A/C","",5,90,"red",11111,1400,"front","4/5 doors","petrol","minivan (MPV)","manual, 5 speeds"
"35",300,3,"posted 4 weeks ago",1900,"Fiat Doblo",2003,"no A/C","",2,129,"white",11111,1928,"front","2/3 doors","diesel","pickup","manual, 5 speeds"
"36",506,9,"posted 2 weeks ago",1500,"UAZ 469",1991,"no A/C","Euro 3",4,41,"green",11111,1200,"4x4","2/3 doors","petrol","suv","manual, 5 speeds"
"37",284,3,"posted 6 days ago",750,"Lada 2107",1992,"no A/C","Euro 1",5,75,"black",11112,1500,"back","4/5 doors","petrol","limousine","manual, 5 speeds"
"38",423,8,"posted 4 weeks ago",300,"Fiat Bravo",2000,"no A/C","Euro 3",5,82,"red",11300,1200,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"39",564,0,"posted 3 weeks ago",330,"Fiat Punto",2000,"manual A/C","Euro 2",5,80,"gray",12000,1900,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"40",133,4,"posted 2 days ago",250,"Ford Ka",2001,"no A/C","Euro 3",5,54,"green",12000,1300,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"41",723,3,"updated 4 days ago",1500,"Zastava Yugo 45",1990,"no A/C","Euro 2",4,45,"gray",12000,NA,"front","2/3 doors","petrol","hatchback","manual, 4 speeds"
"42",98,7,"yesterday",1100,"Ford Focus",2004,"manual A/C","Euro 4",5,148,"gray",12000,1710,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"43",13,1,"posted today",10000,"Jeep Wrangler",1990,"manual A/C","Euro 3",4,120,"white",12000,2500,"4x4","2/3 doors","petrol + gas","suv","manual, 5 speeds"
"44",0,1,"posted today",120,"Smart Fortwo",2001,"no A/C","Euro 3",2,61,"black",12100,NA,"back","2/3 doors","petrol","coupe","manual, 6 speeds"
"45",49,0,"posted a week ago",3850,"Peugeot 308",2008,"manual A/C","",5,82,"white",12345,1600,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"46",333,3,"posted 3 weeks ago",700,"Audi A4",1998,"automatic A/C","Euro 3",5,110,"gray",12345,1896,"front","4/5 doors","diesel","limousine","manual, 6 speeds"
"47",864,7,"posted 4 weeks ago",300,"Zastava Koral",2005,"no A/C","Euro 1",5,109,"green",12350,NA,"front","2/3 doors","petrol","limousine","manual, 5 speeds"
"48",123,7,"posted a week ago",750,"Peugeot 306",1997,"manual A/C","Euro 2",5,68,"blue",13111,1400,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"49",280,8,"posted 2 weeks ago",400,"Zastava Koral",2002,"no A/C","Euro 3",5,54,"red",13500,1100,"front","2/3 doors","petrol + gas","hatchback","manual, 5 speeds"
"50",54,0,"posted a week ago",25500,"Toyota Yaris",2023,"automatic A/C","Euro 6",5,136,"red",13500,1480,"front","4/5 doors","hybrid","hatchback","automatic"
"51",168,11,"posted a week ago",3000,"Opel Senator",1984,"no A/C","",5,184,"brown",14000,3000,"back","4/5 doors","petrol","limousine","manual, 5 speeds"
"52",116,2,"yesterday",1000,"Zastava Yugo 55",1989,"no A/C","",5,54,"gray",15000,1100,"front","2/3 doors","petrol","hatchback","manual, 4 speeds"
"53",151,0,"posted 3 days ago",1600,"Zastava AR 55",1974,"no A/C","Euro 2",2,54,"green",15000,1588,"4x4","2/3 doors","diesel","suv","manual, 5 speeds"
"54",25,0,"yesterday",15999,"Hyundai Tucson",2017,"automatic A/C","Euro 6",5,132,"black",15700,1598,"front","4/5 doors","petrol","suv","manual, 6 speeds"
"55",104,2,"posted 3 weeks ago",3200,"Renault Twingo",2010,"manual A/C","Euro 5",4,60,"red",16000,1200,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"56",62,1,"posted a week ago",5000,"Dacia Sandero",2010,"no A/C","",5,55,"red",16000,1400,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"57",25,0,"posted 2 days ago",21500,"Kia Sportage",2021,"automatic A/C","Euro 6",5,132,"red",16000,1591,"front","4/5 doors","petrol","suv","manual, 6 speeds"
"58",1323,23,"updated 2 weeks ago",350,"Volkswagen Golf 2",1986,"no A/C","",5,95,"gray",18000,1800,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"59",329,1,"posted 4 weeks ago",420,"Ford Focus",1999,"manual A/C","Euro 1",5,76,"blue",18000,1600,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"60",69,0,"posted 2 weeks ago",24800,"Volkswagen Golf 8",2021,"automatic A/C","Euro 6",5,116,"black",18800,1980,"front","4/5 doors","diesel","hatchback","automatic"
"61",848,4,"updated a week ago",14500,"Fiat Tipo",2021,"automatic A/C","Euro 6",5,95,"blue",18832,1368,"front","4/5 doors","petrol","limousine","manual, 6 speeds"
"62",82,3,"posted a week ago",3100,"Suzuki Swift",2007,"manual A/C","Euro 3",5,88,"red",19000,1300,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"63",253,2,"posted 5 days ago",650,"Zastava Skala 55",1991,"no A/C","Euro 2",5,45,"blue",19000,NA,"front","4/5 doors","petrol","limousine","manual, 4 speeds"
"64",177,3,"posted 4 weeks ago",6500,"Mitsubishi L300",1985,"no A/C","",3,69,"beige",19876,1800,"4x4","4/5 doors","petrol + gas","minivan (MPV)","manual, 5 speeds"
"65",200,6,"posted 2 days ago",250,"Zastava Yugo 45",1989,"no A/C","Euro 2",5,61,"red",20000,NA,"front","2/3 doors","petrol","coupe","manual, 4 speeds"
"66",35,0,"yesterday",4500,"Ford Escort",1971,"no A/C","",5,48,"red",20000,NA,"back","2/3 doors","petrol","coupe","manual, 4 speeds"
"67",707,10,"posted 2 weeks ago",450,"Opel Corsa C",2002,"manual A/C","Euro 3",5,75,"gray",20000,1200,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"68",168,3,"posted a week ago",2100,"Ford Fiesta",2006,"manual A/C","Euro 4",5,69,"blue",20000,1299,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"69",490,11,"posted 6 days ago",360,"Zastava Koral In",2003,"no A/C","",5,68,"green",20000,1300,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"70",207,3,"posted 2 weeks ago",890,"Fiat Seicento",2003,"no A/C","",5,54,"red",20000,1100,"front","2/3 doors","petrol + gas","hatchback","manual, 5 speeds"
"71",133,3,"posted a week ago",1700,"Peugeot 407",2005,"manual A/C","Euro 3",5,90,"gray",20000,1560,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"72",228,6,"posted 2 weeks ago",2500,"Volkswagen Polo",2007,"manual A/C","Euro 3",5,88,"gray",20000,1200,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"73",261,4,"posted 4 weeks ago",600,"Volkswagen Passat B2",1983,"no A/C","",5,60,"red",20000,1600,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"74",121,0,"posted a week ago",54000,"Mercedes C 300",2022,"manual A/C","Euro 6",5,343,"red",20000,2000,"front","4/5 doors","petrol","limousine","automatic"
"75",39,0,"posted a week ago",6000,"Volkswagen Passat B6",2007,"manual A/C","Euro 4",5,170,"black",20000,2000,"front","4/5 doors","diesel","limousine","manual, 6 speeds"
"76",446,3,"updated 2 weeks ago",4000,"Opel Insignia",2009,"automatic A/C","",5,131,"bordeaux",20000,2000,"front","4/5 doors","diesel","limousine","automatic"
"77",31,0,"posted a week ago",950,"Rover 45",2001,"manual A/C","Euro 3",5,120,"gray",20000,1400,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"78",119,1,"posted 3 days ago",1100,"Audi 80",1992,"no A/C","Euro 2",5,116,"turquoise",20000,2000,"4x4","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"79",101,3,"posted 6 days ago",3600,"Citroen Berlingo",2008,"manual A/C","Euro 3",5,90,"bordeaux",20000,1598,"front","4/5 doors","diesel","minivan (MPV)","manual, 5 speeds"
"80",494,9,"posted a week ago",700,"Volkswagen Lupo",1999,"automatic A/C","Euro 1",5,61,"red",20000,NA,"front","2/3 doors","petrol","pickup","manual, 5 speeds"
"81",65,1,"posted 3 days ago",5000,"BMW X5",2002,"automatic A/C","",5,184,"teget",20000,3000,"4x4","4/5 doors","diesel","suv","automatic"
"82",22,0,"posted today",1050,"Opel Corsa A",2001,"no A/C","Euro 3",5,72,"gray",20020,1400,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"83",274,5,"posted a week ago",500,"Zastava Yugo 55",2005,"no A/C","Euro 1",5,49,"red",20614,1100,"front","2/3 doors","petrol + gas","hatchback","manual, 5 speeds"
"84",12,0,"posted today",26000,"BMW M550",2013,"automatic A/C","Euro 6",5,381,"black",20900,2993,"4x4","4/5 doors","diesel","limousine","automatic"
"85",88,0,"posted 5 days ago",6400,"Volkswagen Polo",2015,"manual A/C","Euro 5",5,60,"white",21000,NA,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"86",63,0,"posted a week ago",62000,"Land Rover Range Rover Evoque",2021,"automatic A/C","Euro 6",5,204,"white",21015,1998,"4x4","4/5 doors","hybrid","suv","automatic"
"87",60,0,"posted a week ago",8500,"BMW X1",2011,"no A/C","",5,143,"black",21400,1960,"4x4","4/5 doors","diesel","suv","manual, 6 speeds"
"88",373,7,"posted a week ago",1600,"Opel Corsa D",2010,"manual A/C","Euro 4",5,75,"red",21459,1665,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"89",77,1,"posted a week ago",7000,"Audi A4",2009,"automatic A/C","Euro 5",5,120,"black",22000,2000,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"90",137,1,"updated 2 weeks ago",2300,"Peugeot 307",2005,"no A/C","Euro 4",5,75,"beige",22000,1400,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"91",1711,11,"updated a week ago",500,"Volkswagen Golf 2",1988,"no A/C","",4,75,"red",22000,1600,"front","4/5 doors","diesel","limousine","manual, 4 speeds"
"92",263,2,"posted 3 weeks ago",400,"Ford Fiesta",1998,"no A/C","Euro 3",5,67,"white",22000,1800,"front","2/3 doors","diesel","limousine","manual, 5 speeds"
"93",106,0,"posted a week ago",650,"Opel Astra F",1992,"no A/C","Euro 2",5,60,"red",22000,1400,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"94",277,4,"updated 2 days ago",500,"Opel Astra F",1992,"no A/C","Euro 2",5,44,"red",22000,1400,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"95",164,0,"posted a week ago",2400,"Audi A4",2001,"automatic A/C","",5,131,"blue",22000,2000,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"96",85,0,"yesterday",370,"Kia Sephia",2001,"manual A/C","Euro 2",5,116,"gray",22000,1800,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"97",148,1,"posted 3 weeks ago",4000,"Volkswagen Golf 5",2007,"automatic A/C","",5,102,"black",22000,1400,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"98",64,0,"posted a week ago",3800,"Volkswagen Touran",2004,"automatic A/C","Euro 4",5,101,"black",22000,1896,"front","4/5 doors","diesel","minivan (MPV)","manual, 6 speeds"
"99",92,0,"updated 6 days ago",13800,"Fiat Doblo",2017,"manual A/C","Euro 6",2,95,"white",22000,1248,"front","4/5 doors","diesel","pickup","manual, 5 speeds"
"100",132,2,"updated 2 weeks ago",4750,"Opel Meriva",2011,"automatic A/C","Euro 5",5,95,"gray",22100,1300,"front","4/5 doors","diesel","minivan (MPV)","manual, 5 speeds"
"101",542,5,"posted 2 weeks ago",1100,"Audi A4",2003,"automatic A/C","Euro 3",4,163,"gray",22222,1800,"4x4","2/3 doors","petrol","cabriolet","automatic"
"102",147,0,"posted a week ago",900,"Opel Astra",1998,"manual A/C","Euro 4",5,94,"red",22222,1696,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"103",85,0,"yesterday",3200,"Volkswagen Buggy",2010,"no A/C","",4,68,"red",22222,1300,"back","2/3 doors","petrol","coupe","manual, 4 speeds"
"104",114,0,"posted 6 days ago",1000,"Citroen C5",2002,"automatic A/C","Euro 3",5,109,"blue",22222,2000,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"105",62,0,"posted 6 days ago",2100,"Renault Megane",2007,"automatic A/C","Euro 3",5,101,"white",22222,1488,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"106",135,1,"posted 5 days ago",350,"Fiat Stilo",2002,"manual A/C","Euro 4",5,90,"teget",22222,1900,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"107",105,1,"posted 2 weeks ago",3200,"Audi A4",2003,"automatic A/C","Euro 3",5,150,"black",22222,1999,"front","4/5 doors","petrol","limousine","automatic"
"108",337,3,"posted a week ago",399,"Audi A6",2002,"automatic A/C","",5,118,"black",22222,1900,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"109",368,4,"posted 4 weeks ago",950,"Dacia 1310",2002,"no A/C","Euro 3",5,83,"red",22222,1900,"back","4/5 doors","diesel","pickup","manual, 5 speeds"
"110",78,1,"posted 3 days ago",2000,"Zastava AR 55",1970,"no A/C","Euro 2",2,109,"green",22222,1900,"4x4","2/3 doors","petrol + gas","suv","manual, 5 speeds"
"111",154,6,"posted 3 days ago",2500,"Audi A3",2005,"manual A/C","Euro 3",5,140,"blue",22500,2000,"front","2/3 doors","diesel","hatchback","manual, 6 speeds"
"112",277,2,"updated 6 days ago",8990,"Fiat Panda",2017,"manual A/C","Euro 6",4,86,"white",22600,1000,"front","4/5 doors","methane","hatchback","manual, 5 speeds"
"113",92,2,"posted a week ago",3000,"Opel Astra H",2008,"automatic A/C","Euro 5",5,131,"gray",22850,1700,"front","4/5 doors","diesel","limousine","manual, 6 speeds"
"114",46,1,"posted 3 days ago",900,"Renault Laguna",2001,"no A/C","",5,121,"brown",23000,1800,"front","4/5 doors","petrol","caravan","manual, 5 speeds"
"115",100,1,"posted 2 weeks ago",1800,"Peugeot 307",2004,"automatic A/C","Euro 4",5,109,"red",23000,1600,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"116",402,4,"posted 2 weeks ago",300,"Fiat Punto",2001,"manual A/C","Euro 3",5,80,"white",23000,1900,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"117",464,8,"posted 3 weeks ago",700,"Daewoo Matiz",2000,"no A/C","Euro 3",5,60,"green",23000,NA,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"118",63,0,"posted 5 days ago",16600,"Skoda Kamiq",2022,"manual A/C","Euro 6",5,95,"white",23000,NA,"front","4/5 doors","petrol","suv","manual, 5 speeds"
"119",105,2,"posted a week ago",900,"Audi 80",1990,"no A/C","Euro 1",5,72,"black",23415,1598,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"120",171,6,"posted a week ago",2200,"Volkswagen T3",1984,"no A/C","Euro 2",6,69,"orange",23456,1588,"back","2/3 doors","diesel","minivan (MPV)","manual, 4 speeds"
"121",341,3,"posted 3 weeks ago",1050,"Fiat Punto",2001,"manual A/C","",5,60,"gray",23699,1200,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"122",145,0,"posted a week ago",2150,"Peugeot 206",2007,"manual A/C","Euro 4",5,75,"gray",23700,1400,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"123",101,0,"yesterday",1000,"Volkswagen Golf 2",1985,"no A/C","",5,73,"red",23800,1600,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"124",42,1,"posted a week ago",13000,"Ford Fiesta",2020,"automatic A/C","Euro 6",5,86,"gray",24000,1084,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"125",144,0,"posted a week ago",1090,"Nissan Almera",2004,"automatic A/C","Euro 4",5,109,"gray",24000,1800,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"126",90,1,"posted 2 weeks ago",23000,"Audi A8",2011,"automatic A/C","Euro 5",5,408,"gray",24000,4200,"4x4","4/5 doors","diesel","limousine","automatic"
"127",483,10,"posted 2 weeks ago",1200,"Mercedes Vaneo",2006,"no A/C","Euro 3",6,101,"green",24000,1700,"front","4/5 doors","petrol","minivan (MPV)","manual, 5 speeds"
"128",161,1,"posted 2 weeks ago",5900,"Suzuki Grand Vitara",2009,"automatic A/C","",5,239,"blue",24000,3200,"4x4","4/5 doors","petrol + gas","suv","automatic"
"129",19,1,"posted today",1550,"BMW 318",2001,"manual A/C","Euro 1",5,118,"gray",24357,1800,"back","4/5 doors","petrol","limousine","manual, 5 speeds"
"130",112,3,"posted a week ago",1950,"Ford Focus",2005,"manual A/C","Euro 3",5,109,"blue",24780,1600,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"131",41,1,"yesterday",7499,"Audi A3",2009,"automatic A/C","Euro 5",5,140,"black",24800,1998,"front","4/5 doors","diesel","hatchback","manual, 6 speeds"
"132",72,1,"posted 2 weeks ago",3000,"BMW 318",2003,"automatic A/C","Euro 3",5,116,"gray",25000,2000,"back","4/5 doors","diesel","caravan","manual, 5 speeds"
"133",520,12,"updated 6 days ago",470,"Renault Clio",1998,"no A/C","Euro 2",5,65,"teget",25000,1200,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"134",96,3,"posted a week ago",10800,"Fiat Tipo",2019,"manual A/C","",5,95,"gray",25000,1368,"back","4/5 doors","petrol","hatchback","manual, 6 speeds"
"135",76,2,"posted 4 days ago",850,"Opel Corsa B",1996,"no A/C","",5,45,"green",25000,1200,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"136",27,0,"posted today",3300,"Fiat Punto",2008,"manual A/C","",5,77,"gray",25000,1368,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"137",2955,25,"updated 2 days ago",10000,"BMW 750",1988,"manual A/C","Euro 2",5,300,"black",25000,4989,"back","4/5 doors","petrol","limousine","manual, 6 speeds"
"138",122,1,"posted 4 days ago",950,"Fiat Stilo",2001,"manual A/C","Euro 3",5,116,"blue",25000,1900,"back","4/5 doors","diesel","limousine","manual, 5 speeds"
"139",202,3,"updated a week ago",25000,"Iveco Massif",1995,"no A/C","Euro 2",9,99,"green",25000,2500,"4x4","2/3 doors","diesel","suv","manual, 5 speeds"
"140",990,0,"updated a week ago",5000,"Jeep Wrangler",1995,"no A/C","",3,75,"red",25000,2500,"4x4","2/3 doors","petrol","suv","automatic"
"141",104,3,"posted 6 days ago",5700,"BMW 520",2008,"automatic A/C","Euro 4",5,163,"black",25200,1995,"back","4/5 doors","diesel","caravan","manual, 6 speeds"
"142",101,2,"posted 4 days ago",1600,"Ford Fiesta",2004,"manual A/C","",5,80,"gray",25400,1400,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"143",138,0,"posted a week ago",15500,"Dacia Duster",2023,"automatic A/C","Euro 6",5,91,"orange",25500,NA,"front","4/5 doors","petrol + gas","suv","manual, 6 speeds"
"144",260,0,"posted a week ago",1800,"Citroen C4",2006,"manual A/C","Euro 4",5,109,"orange",25560,1600,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"145",119,2,"posted 2 weeks ago",15000,"BMW 320",2004,"no A/C","",5,110,"black",25618,1900,"front","4/5 doors","petrol","limousine","manual, 5 speeds"
"146",212,1,"posted 6 days ago",400,"Opel Astra F",1999,"manual A/C","Euro 1",5,71,"blue",26000,1600,"front","4/5 doors","petrol + gas","caravan","manual, 5 speeds"
"147",53,0,"posted a week ago",15500,"BMW 730",2009,"no A/C","Euro 5",5,245,"golden",26000,2999,"back","4/5 doors","diesel","limousine","automatic"
"148",241,4,"posted 2 weeks ago",4500,"Suzuki Vitara",1990,"no A/C","Euro 1",4,75,"black",26000,1600,"4x4","2/3 doors","petrol + gas","suv","manual, 5 speeds"
"149",316,3,"updated today",17700,"Toyota Corolla",2022,"automatic A/C","Euro 6",5,125,"white",26400,1495,"front","4/5 doors","petrol","limousine","manual, 6 speeds"
"150",118,3,"posted 3 weeks ago",1800,"Peugeot 307",2002,"automatic A/C","Euro 3",7,90,"gray",27000,1997,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"151",368,1,"posted 3 weeks ago",600,"Renault Megane",2002,"manual A/C","Euro 3",5,80,"teget",27000,1900,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"152",164,1,"posted 3 weeks ago",1650,"Peugeot 307",2005,"manual A/C","Euro 4",5,136,"gray",27000,1999,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"153",453,4,"posted 3 weeks ago",800,"Ford Focus",2004,"manual A/C","Euro 3",5,116,"gray",27138,1800,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"154",57,0,"posted 2 days ago",6000,"Mitsubishi Pajero Sport",2003,"automatic A/C","Euro 3",5,116,"gray",27444,2500,"4x4","4/5 doors","diesel","suv","manual, 5 speeds"
"155",215,9,"posted 4 days ago",850,"Opel Corsa C",2004,"manual A/C","",5,69,"gray",27500,1248,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"156",218,1,"posted 5 days ago",600,"Zastava Yugo 55",1992,"no A/C","Euro 3",5,55,"red",27720,1100,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"157",126,0,"posted 3 days ago",650,"Zastava 101",2005,"no A/C","",5,45,"red",28000,NA,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"158",118,2,"posted 4 days ago",1500,"Renault Scenic",2003,"manual A/C","Euro 3",5,116,"gray",28000,1800,"front","4/5 doors","petrol + gas","limousine","manual, 5 speeds"
"159",188,2,"posted 2 weeks ago",950,"Renault Scenic",2002,"manual A/C","",5,102,"blue",28000,1900,"front","4/5 doors","diesel","limousine","manual, 5 speeds"
"160",106,2,"updated 2 weeks ago",13800,"Ford Courier",2023,"manual A/C","Euro 6",2,101,"white",28000,NA,"front","4/5 doors","petrol","minivan (MPV)","manual, 6 speeds"
