"","views","favorite","post_info","price","car_name","year","A.C","emission_class","seats_amount","horsepower","color","car_mileage..km","engine_capacity..cc","type_of_drive","doors","fuel","car_type","gearbox"
"6893",261,3,"posted a week ago",1500,"BMW 320",2001,"manual A/C","Euro 3",5,136,"blue",299999,2000,"back","4/5 doors","diesel","limousine","manual, 5 speeds"
"6894",20,0,"posted 6 days ago",1900,"Volkswagen Golf 4",2002,"automatic A/C","Euro 3",5,131,"gray",299999,1894,"front","4/5 doors","diesel","limousine","manual, 6 speeds"
"6895",76,4,"posted 6 days ago",1900,"Volkswagen Golf 4",2002,"automatic A/C","Euro 3",5,131,"gray",299999,1894,"front","4/5 doors","diesel","limousine","manual, 6 speeds"
"6896",57,1,"posted 5 days ago",1700,"Citroen Xsara Picasso",2005,"automatic A/C","Euro 4",5,109,"gray",299999,1560,"front","4/5 doors","diesel","minivan (MPV)","manual, 5 speeds"
"6897",123,1,"posted 3 weeks ago",3000,"Peugeot 307",2006,"no A/C","",4,140,"black",300000,1997,"front","2/3 doors","petrol + gas","cabriolet","manual, 5 speeds"
"6898",72,1,"posted a week ago",1800,"Renault Megane",2004,"no A/C","",5,136,"red",300000,2000,"front","2/3 doors","petrol","cabriolet","manual, 6 speeds"
"6899",371,3,"posted 3 weeks ago",650,"Ford Focus",2001,"manual A/C","Euro 3",5,90,"black",300000,1800,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6900",179,1,"updated a week ago",512,"Ford Mondeo",1998,"manual A/C","Euro 3",5,90,"white",300000,1700,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6901",105,0,"posted 2 weeks ago",1850,"Peugeot 307",2006,"manual A/C","Euro 3",5,90,"golden",300000,1960,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6902",263,5,"posted 4 days ago",1250,"Dacia Logan",2008,"no A/C","Euro 4",6,75,"red",300000,NA,"front","4/5 doors","petrol + gas","caravan","manual, 5 speeds"
"6903",39,0,"posted 3 weeks ago",700,"Fiat Marea",2001,"no A/C","",5,75,"gray",300000,1900,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6904",146,2,"posted a week ago",1350,"Opel Astra G",2002,"manual A/C","Euro 3",5,75,"teget",300000,1700,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6905",53,1,"posted 3 days ago",900,"Opel Kadett",1989,"no A/C","Euro 2",5,68,"blue",300000,NA,"front","2/3 doors","petrol","caravan","manual, 4 speeds"
"6906",132,3,"posted 4 days ago",1450,"Skoda Fabia",2005,"manual A/C","Euro 4",5,64,"gray",300000,1896,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6907",44,0,"posted 2 weeks ago",11350,"BMW 520",2011,"automatic A/C","Euro 4",5,218,"gray",300000,1995,"back","4/5 doors","diesel","caravan","automatic"
"6908",446,4,"updated a week ago",990,"Opel Astra",2002,"no A/C","Euro 3",5,200,"silver",300000,NA,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6909",48,0,"posted 2 days ago",5500,"Audi A6",2008,"automatic A/C","Euro 4",5,179,"black",300000,2697,"4x4","4/5 doors","diesel","caravan","automatic"
"6910",55,0,"posted 3 weeks ago",7800,"Mercedes C 220",2009,"no A/C","",5,170,"gray",300000,2143,"back","4/5 doors","diesel","caravan","automatic"
"6911",92,1,"posted a week ago",2100,"Alfa Romeo 159",2006,"automatic A/C","Euro 4",5,150,"gray",300000,1989,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6912",105,1,"posted 3 weeks ago",2000,"Fiat Croma",2007,"automatic A/C","Euro 4",5,150,"black",300000,1900,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6913",20,0,"yesterday",4300,"Ford Mondeo",2009,"manual A/C","Euro 4",5,150,"teget",300000,2200,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6914",86,0,"posted a week ago",9900,"Audi A4",2011,"automatic A/C","Euro 5",5,143,"black",300000,1968,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6915",90,1,"posted 3 weeks ago",9000,"BMW 318",2014,"automatic A/C","Euro 6",5,143,"black",300000,1998,"back","4/5 doors","diesel","caravan","automatic"
"6916",2582,20,"updated a week ago",1150,"BMW 525",1991,"no A/C","Euro 2",5,143,"gray",300000,2497,"back","4/5 doors","diesel","caravan","manual, 5 speeds"
"6917",39,1,"posted 3 days ago",8000,"Volkswagen Passat B7",2012,"automatic A/C","Euro 5",5,140,"gray",300000,1968,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6918",36,0,"posted 3 days ago",4500,"Audi A6",2005,"manual A/C","Euro 4",4,136,"black",300000,2000,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6919",532,0,"updated 4 days ago",1000,"BMW 520",2002,"manual A/C","Euro 3",5,136,"black",300000,2000,"back","4/5 doors","diesel","caravan","manual, 5 speeds"
"6920",350,1,"posted 2 weeks ago",500,"Citroen C5",2004,"automatic A/C","Euro 3",5,136,"gray",300000,2000,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6921",381,7,"posted 4 days ago",300,"Opel Astra G",2004,"manual A/C","Euro 3",5,136,"black",300000,2000,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6922",104,3,"posted 3 weeks ago",2500,"Volvo V50",2006,"manual A/C","",5,136,"blue",300000,2000,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6923",71,1,"posted 3 weeks ago",3350,"Audi A4",2004,"automatic A/C","Euro 4",5,131,"gray",300000,1900,"4x4","4/5 doors","diesel","caravan","manual, 6 speeds"
"6924",216,0,"posted 3 weeks ago",650,"Lancia Lybra",2001,"automatic A/C","",5,131,"silver",300000,1800,"front","4/5 doors","petrol","caravan","manual, 5 speeds"
"6925",1010,5,"updated 4 days ago",1150,"Opel Omega",1996,"manual A/C","Euro 2",5,130,"green",300000,2497,"back","4/5 doors","diesel","caravan","manual, 5 speeds"
"6926",1658,13,"updated 3 weeks ago",1650,"Volvo 850",1996,"automatic A/C","Euro 2",5,120,"green",300000,2400,"front","4/5 doors","petrol + gas","caravan","manual, 5 speeds"
"6927",84,0,"posted 2 days ago",450,"Alfa Romeo 156",2001,"manual A/C","Euro 3",5,116,"green",300000,1900,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6928",51,0,"posted a week ago",6500,"BMW 316",2012,"automatic A/C","",5,116,"gray",300000,2000,"back","4/5 doors","diesel","caravan","manual, 6 speeds"
"6929",146,4,"posted 3 weeks ago",2500,"BMW 318",2004,"automatic A/C","Euro 3",5,116,"gray",300000,1999,"back","4/5 doors","diesel","caravan","semi-automatic"
"6930",29,0,"posted 3 days ago",3000,"BMW 320",2002,"manual A/C","Euro 3",5,116,"black",300000,2000,"back","4/5 doors","diesel","caravan","manual, 5 speeds"
"6931",91,2,"posted a week ago",1000,"Lancia Lybra",2004,"automatic A/C","Euro 3",5,116,"blue",300000,1900,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6932",197,3,"posted 4 days ago",1799,"Mercedes C 200",2003,"automatic A/C","Euro 4",5,116,"blue",300000,2200,"back","4/5 doors","diesel","caravan","manual, 6 speeds"
"6933",121,3,"posted 2 weeks ago",1500,"Volvo V40",2002,"automatic A/C","Euro 3",5,116,"black",300000,1900,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6934",508,5,"posted a week ago",300,"Volkswagen Polo",2001,"manual A/C","",5,110,"blue",300000,1890,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6935",113,0,"updated 3 days ago",3500,"Peugeot 308",2009,"automatic A/C","Euro 4",5,109,"gray",300000,1560,"front","4/5 doors","diesel","caravan","manual, 6 speeds"
"6936",402,0,"updated 5 days ago",899,"Fiat Multipla",2005,"manual A/C","Euro 3",6,105,"blue",300000,1598,"front","4/5 doors","methane","caravan","manual, 5 speeds"
"6937",221,3,"posted a week ago",1100,"Audi 80",1994,"manual A/C","",5,101,"black",300000,1600,"front","4/5 doors","petrol + gas","caravan","manual, 5 speeds"
"6938",89,2,"posted a week ago",800,"Opel Astra F",1993,"manual A/C","Euro 2",5,101,"blue",300000,1597,"front","4/5 doors","petrol + gas","caravan","semi-automatic"
"6939",185,3,"posted 3 weeks ago",1500,"Opel Astra G",2002,"manual A/C","Euro 3",5,101,"blue",300000,2000,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6940",159,2,"posted 2 weeks ago",1400,"Peugeot 307",2002,"automatic A/C","Euro 3",5,101,"red",300000,2000,"front","4/5 doors","diesel","caravan","manual, 5 speeds"
"6941",241,2,"posted 4 weeks ago",800,"Volkswagen Golf 2",1988,"no A/C","",5,90,"white",300000,1760,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"6942",118,4,"posted 5 days ago",1450,"Opel Corsa C",2003,"manual A/C","Euro 3",5,68,"blue",300000,1200,"front","2/3 doors","petrol + gas","coupe","manual, 5 speeds"
"6943",122,2,"posted a week ago",1250,"Volkswagen Lupo",2002,"no A/C","Euro 3",4,60,"white",300000,1716,"front","2/3 doors","diesel","coupe","manual, 5 speeds"
"6944",111,1,"posted 3 weeks ago",4000,"Mercedes CLK 270",2005,"manual A/C","Euro 3",4,231,"gray",300000,2700,"back","2/3 doors","diesel","coupe","automatic"
"6945",86,1,"posted 5 days ago",1850,"Audi A3",2002,"automatic A/C","Euro 3",5,151,"red",300000,1900,"front","2/3 doors","diesel","coupe","manual, 5 speeds"
"6946",232,0,"posted 4 days ago",500,"Audi A3",1997,"automatic A/C","Euro 2",5,150,"teget",300000,1787,"front","2/3 doors","petrol","coupe","manual, 5 speeds"
"6947",359,5,"updated a week ago",1500,"Audi A3",2001,"automatic A/C","Euro 4",5,101,"gray",300000,1598,"front","2/3 doors","petrol + gas","coupe","manual, 5 speeds"
"6948",554,10,"posted 2 weeks ago",700,"Opel Astra G",2002,"manual A/C","Euro 3",4,101,"blue",300000,1985,"front","2/3 doors","diesel","coupe","manual, 5 speeds"
"6949",53,0,"posted 3 days ago",1399,"Opel Astra G",2000,"manual A/C","Euro 3",5,101,"gray",300000,2000,"front","2/3 doors","diesel","coupe","manual, 5 speeds"
"6950",74,1,"posted a week ago",1500,"Fiat Punto",2002,"no A/C","Euro 3",5,90,"white",300000,1200,"front","4/5 doors","petrol","hatchback","manual, 5 speeds"
"6951",57,0,"posted 3 weeks ago",3600,"Opel Corsa D",2009,"manual A/C","Euro 4",5,90,"white",300000,1400,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6952",87,1,"posted 3 days ago",1200,"Renault Megane",2002,"no A/C","Euro 3",5,90,"red",300000,1500,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6953",204,2,"posted 4 days ago",830,"Volkswagen Golf 2",1990,"no A/C","Euro 2",5,90,"blue",300000,1800,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"6954",176,2,"posted 2 weeks ago",1650,"Mazda 323",1994,"no A/C","",5,88,"teget",300000,1600,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"6955",520,3,"posted 3 weeks ago",400,"Volkswagen Golf 3",1996,"no A/C","",5,82,"black",300000,1900,"front","4/5 doors","diesel","hatchback","manual, 5 speeds"
"6956",335,0,"posted a week ago",1200,"Lada Niva",1990,"no A/C","Euro 2",3,76,"red",300000,1600,"4x4","2/3 doors","petrol + gas","hatchback","manual, 5 speeds"
"6957",458,1,"updated 5 days ago",1800,"Renault Clio",2008,"manual A/C","",2,75,"white",300000,1200,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
"6958",310,1,"posted a week ago",330,"Volkswagen Golf 3",1994,"no A/C","Euro 2",5,75,"white",300000,1800,"front","4/5 doors","petrol + gas","hatchback","manual, 5 speeds"
"6959",330,3,"posted a week ago",320,"Fiat Punto",2005,"manual A/C","",5,69,"white",300000,1300,"front","2/3 doors","diesel","hatchback","manual, 5 speeds"
"6960",144,2,"posted a week ago",1000,"Fiat Punto",2005,"no A/C","",5,68,"blue",300000,1200,"front","2/3 doors","petrol","hatchback","manual, 5 speeds"
